"hugo_symbol","log2FoldChange"
"ACSM1",-0.668371114983331
"ACSM2A",0.872171071496562
"ACSM3",-0.829198154541934
"ACSM5",-4.77190643149967
"ACSS1",-1.28211257585953
"ACSS2",-0.0875740754290123
"ACSS3",1.0258967170491
"ACTA1",0.204116131490423
"ACTA2",-0.886746633862864
"ACTB",0.556769932957835
"ACTBP1",0.524362759656723
"ACTBP11",0.538109334036624
"ACTBP15",0.837377891641998
"ACTBP2",0.688524535475025
"ACTBP4",0.788864915950473
"ACTBP7",0.670007705401895
"ACTBP8",0.202778824829395
"ACTBP9",0.875355665004345
"ACTC1",0.936508638833657
"ACTG1",0.325689196881048
"ACTG1P10",0.409792561820696
"ACTG1P14",1.13292126354981
"ACTG1P17",1.45017580515403
"ACTG1P19",0.270580231536742
"ACTG1P2",0.471985401978595
"ACTG1P20",1.04141902208936
"ACTG1P21",0.629747731666729
"ACTG1P23",0.316431278887892
"ACTG1P25",-0.0555376076429795
"ACTG1P3",1.14347487440912
"ACTG1P9",0.0603220953063927
"ACTG2",0.753726963961072
"ACTL10",-0.916851097355248
"ACTL6A",-0.427184297267424
"ACTMAP",-0.0878539372789943
"ACTN1",-0.180289440648741
"ACTN2",3.86423943330561
"ACTN4",0.691167754935941
"ACTR10",-0.151540967625137
"ACTR1A",0.283217655336103
"ACTR1B",-0.483948926649702
"ACTR2",0.114148990705432
"ACTR3",0.428262684179215
"ACTR3-AS1",-0.834618077638476
"ACTR3B",-0.860712983090293
"ACTR3C",3.91337659085495
"ACTR5",-0.575734308824654
"ACTR6",0.407149806786347
"ACTR8",-0.0945674878333694
"ACTRT3",-0.170782195964931
"ACVR1",0.00858532140843904
"ACVR1B",1.33505470130353
"ACVR1C",4.71248286258978
"ACVR2A",1.36769509174382
"ACVR2B",0.197439958456637
"ACVR2B-AS1",0.228917489077509
"ACVRL1",4.41864568291148
"ACY1",0.413413297740834
"ACYP1",0.0737504845930434
"ACYP2",-0.434333882526599
"ADA",1.47131975125349
"ADA2",-2.7402589976017
"ADAD2",-4.45124076529477
"ADAM10",-0.33701674955389
"ADAM12",-0.0873784975549765
"ADAM15",-4.13583096677321
"ADAM17",0.809212565558649
"ADAM19",2.12971577434106
"ADAM20P1",0.516601530041521
"ADAM22",-0.0655868682829621
"ADAM23",-4.41360527977919
"ADAM28",1.09151545271465
"ADAM32",0.785781364302688
"ADAM7-AS1",2.45972357399761
"ADAM8",2.08877378906895
"ADAM9",1.21594223169344
"ADAMDEC1",5.39634728312129
"ADAMTS1",0.49640774440384
"ADAMTS10",-1.69833060318546
"ADAMTS13",-0.966143978115475
"ADAMTS14",1.24751352649027
"ADAMTS15",2.19636426823958
"ADAMTS16-DT",-1.03690163604266
"ADAMTS2",-0.388090986370925
"ADAMTS4",1.9116522676425
"ADAMTS5",-3.13193206363483
"ADAMTSL2",-2.58307925950856
"ADAMTSL3",0.757410247815094
"ADAMTSL4",-0.753330637298831
"ADAMTSL4-AS1",-1.00785796636796
"ADAMTSL4-AS2",0.642750355888081
"ADAMTSL5",-0.898198968140563
"ADAP1",-0.41296441082044
"ADAP2",0.529661710097848
"ADAR",1.34384734210163
"ADARB1",1.5472374436968
"ADARB2",-0.483171142379891
"ADAT1",-0.720935880975502
"ADAT2",-1.78479997732355
"ADAT3",0.846151420715092
"ADCK1",-1.68547324476542
"ADCK2",-1.44386577517478
"ADCK5",-0.389199249937974
"ADCY1",-0.308543429464227
"ADCY10P1",-1.13167524243552
"ADCY2",0.910279657318397
"ADCY3",-1.39384139038921
"ADCY4",0.167250460371777
"ADCY5",0.31308788536268
"ADCY6",-0.927993480899735
"ADCY6-DT",0.424281754254607
"ADCY7",-1.20952225974851
"ADCY9",0.933474626603303
"ADD1",-0.407903470862224
