"hugo_symbol","log2FoldChange","padj"
"ADAM12",-0.0873784975549765,0.883416520291783
"ADAM15",-4.13583096677321,1.4430376846493e-22
"ADAM17",0.809212565558649,0.0038841415150101
"ADAM19",2.12971577434106,2.63777656756168e-13
"ADAM20P1",0.516601530041521,0.712197200277268
"ADAM22",-0.0655868682829621,0.882237955561111
"ADAM23",-4.41360527977919,6.62253195922501e-18
"ADAM28",1.09151545271465,0.000114725767340097
"ADAM32",0.785781364302688,0.0936093128313518
"ADAM7-AS1",2.45972357399761,0.000858625684276157
"ADAM8",2.08877378906895,1.87046859691921e-12
"ADAM9",1.21594223169344,0.000111595070505154
"ADAMDEC1",5.39634728312129,1.02626909320725e-14
"ADAMTS1",0.49640774440384,0.400315957744207
"ADAMTS10",-1.69833060318546,0.000139577787316541
"ADAMTS13",-0.966143978115475,0.0674965680058559
"ADAMTS14",1.24751352649027,0.000921289091827733
"ADAMTS15",2.19636426823958,0.000126928387555774
"ADAMTS16-DT",-1.03690163604266,0.0769670078684548
"ADAMTS2",-0.388090986370925,0.596666383134551
"ADAMTS4",1.9116522676425,6.2257574826445e-05
"ADAMTS5",-3.13193206363483,2.77313626600919e-05
"ADAMTSL2",-2.58307925950856,0.00204832835515946
"ADAMTSL3",0.757410247815094,0.180656512101647
"ADAMTSL4",-0.753330637298831,0.0018869111249137
"ADAMTSL4-AS1",-1.00785796636796,0.030752788536691
"ADAMTSL4-AS2",0.642750355888081,0.122171986867138
"ADAMTSL5",-0.898198968140563,0.044572713292391
"ADAP1",-0.41296441082044,0.264202714475053
"ADAP2",0.529661710097848,0.0130133341670327
"ADAR",1.34384734210163,7.69600768318001e-09
"ADARB1",1.5472374436968,0.00435159413953309
"ADARB2",-0.483171142379891,0.467604798340794
"ADAT1",-0.720935880975502,0.0124444406097784
"ADAT2",-1.78479997732355,1.06184574845186e-06
"ADAT3",0.846151420715092,0.00231213590894874
"ADCK1",-1.68547324476542,1.9741935772414e-07
"ADCK2",-1.44386577517478,2.34387265511804e-07
"ADCK5",-0.389199249937974,0.146135742279573
"ADCY1",-0.308543429464227,0.332454988902594
"ADCY10P1",-1.13167524243552,5.95379681250712e-05
"ADCY2",0.910279657318397,0.274519589064816
"ADCY3",-1.39384139038921,0.000150083937276297
"ADCY4",0.167250460371777,0.682168604092473
"ADCY5",0.31308788536268,0.450533734090848
"ADCY6",-0.927993480899735,3.54189834937556e-05
"ADCY6-DT",0.424281754254607,0.561145555212079
"ADCY7",-1.20952225974851,0.00093518636706728
"ADCY9",0.933474626603303,0.0261644579068333
"ADD1",-0.407903470862224,0.151317923197497
"ADD2",1.63554389319359,0.0283150986421968
"ADD3",-0.235150473389144,0.605280551698818
"ADD3-AS1",1.75956142253608,0.0524913904950017
"ADGB",-2.16007788434252,0.00198698423271562
"ADGRA2",-1.34981810002281,0.0567941422511292
"ADGRA3",0.0101018301134872,0.98685342805449
"ADGRB1",4.35101737968184,5.1213240425621e-17
"ADGRB3-DT",-0.054448631635367,0.956925166511218
"ADGRD1",4.2880271182888,2.3758544177308e-16
"ADGRD2",0.0913984269286585,0.885726103349357
"ADGRE1",0.476081850685318,0.46949370937638
"ADGRE2",-0.34561348485476,0.59954149015356
"ADGRE3",1.70322259546386,0.0287755018430182
"ADGRE5",-0.485542332971333,0.171297561467035
"ADGRF1",0.830446170004267,0.148583902981812
"ADGRF3",-0.497516830446769,0.541890660731144
"ADGRG1",0.618333932999677,0.122996591007857
"ADGRG2",2.99105237927706,8.68933804583109e-16
"ADGRG3",1.92399481325691,2.57823156875097e-07
"ADGRG5",0.653147308300169,0.118375921979879
"ADGRG6",-1.76274670574386,5.34371718479429e-05
"ADGRL1",-1.00358787696914,0.000833518278092518
"ADGRL1-AS1",0.619099952341623,0.229317260261938
"ADGRL2",0.578571759137455,0.402276780968117
"ADGRV1",1.18504616053947,0.03106828096494
"ADH5",-0.586961678768507,0.00595039816150389
"ADHFE1",-1.55598438061196,2.48226071367939e-14
"ADI1",-0.631017875261632,0.000174852758530807
"ADIPOQ",-1.29170398123831,0.0174003278665944
"ADIPOR1",-0.326939680512019,0.237546900683902
"ADIPOR2",0.197110366091256,0.238831985006084
"ADIRF-AS1",-0.237793777604289,0.630908849240745
"ADISSP",-4.20826762500637,1.64847647641539e-26
"ADK",-0.290225039149524,0.255427369727395
"ADM",3.0397531426618,2.82781597339762e-10
"ADM-DT",1.78526936618131,0.0220215231745001
"ADM2",2.56527420341541,5.39864454808904e-07
"ADM5",-0.383020500001439,0.526984019711288
"ADNP",-0.185764023425281,0.406966145721265
"ADNP-AS1",0.742710863354641,0.00601495046947319
"ADNP2",1.0257760605797,0.000709414955974696
